"","s.cushion","s.open","index","stat","p.value"
"Chaetanthera_pentacaenoides",1,1,3,0.172875659030825,NA
"Chaetanthera_planiseta",0,1,2,0.104460768316454,0.001
"Chaetanthera_pusilla",0,1,2,0.0946448874642843,0.001
"Chamorchis_alpina",1,1,3,0.0270721078381663,NA
"Chionochloa_sp",1,0,1,0.0907072733922372,0.001
"Chionohebe_ciliata",1,1,3,0.0791855940571827,NA
"Chionohebe_thomsonii",1,1,3,0.0312601774957917,NA
"Chrysopsis_villosa",1,1,3,0.0485959207950144,NA
"Chrysosplenium_tetrandum",1,0,1,0.0127619140222539,1
"Chuquiraga_avellanae",0,1,2,0.0442085669767389,0.001
"Chuquiraga_jussieui",1,0,1,0.0299837089317338,0.104
"Chuquiraga_oppositifolia",1,0,1,0.0538089541514174,0.002
"Cirsium_etonii",1,1,3,0.0442085669767389,NA
"Cirsium_scariosum",1,1,3,0.0127619140222539,NA
"Cirsium_sp",1,1,3,0.0744141067499142,NA
"Cirsium_sp2",1,1,3,0.0349499409346497,NA
"Cirsium_spinosissimum",1,0,1,0.0180480718921108,0.51
"Cirsium_tweedyi",1,0,1,0.0127619140222539,1
"Claytonia_megarhiza",1,0,1,0.0331564252325542,0.214
"Colobanthus_aciculatus",0,1,2,0.0718153017668311,0.001
"Colobanthus_buchannii",0,1,2,0.0863319778608667,0.001
"Colobanthus_lycopodioides",1,0,1,0.0127619140222539,1
"Colobanthus_subulatus",1,0,1,0.0289413006480616,0.113
"Comastoma_pulmonarium",1,1,3,0.0238753549353701,NA
"Comastoma_tenellum",0,1,2,0.0357016385643037,0.111
"Cortia_depressa",1,1,3,0.0127619140222539,NA
"Corydalis_pauciflora",0,1,2,0.0127619140222539,1
"Crepis_heterotricha",1,1,3,0.0238753549353701,NA
"Crepis_jacquinii",1,1,3,0.0817161209919281,NA
"Crepis_sp",1,0,1,0.0180480718921108,0.489
"Crepis_sp1",1,0,1,0.020464589944603,0.653
"Crepis_terglouensis",1,1,3,0.032536624315133,NA
"Crocus_sp",1,1,3,0.0360961437842217,NA
"Cryptantha_celosioides",1,0,1,0.0534544522808255,0.011
"Cryptantha_nubigena",1,1,3,0.0656959733321009,NA
"Cuscuta_chilensis",1,0,1,0.0180480718921108,0.485
"Cyananthus_himalaicus",1,1,3,0.0738649176445214,NA
"Cyananthus_microphyllus",1,1,3,0.0312601774957917,NA
"Cymopterus_glaucus",1,1,3,0.039334860751734,NA
"Cyperus_reflexus",0,1,2,0.0127619140222539,1
"Cyperus_sp",1,1,3,0.109410621235271,NA
"Cytisus_galianoi",1,1,3,0.0548910677247302,NA
"Dactylis_glomerata",1,1,3,0.0413533277968014,NA
"Danthonia_intermedia",1,0,1,0.104286682798659,0.001
"Daphne_sp",1,1,3,0.0494266804739203,NA
"Dasiphora_fruticosa",1,0,1,0.0711993894936055,0.003
"Delphinium_oxysepalum",0,1,2,0.0180480718921108,0.479
"Deschampsia_caespitosa",1,0,1,0.0494266804739203,0.001
"Deschampsia_flexuosa",1,1,3,0.0360961437842217,NA
"Deyeuxia_scabrescens",1,1,3,0.107154489829189,NA
"Dianthus_brachyanthus",1,1,3,0.0312601774957917,NA
"Discaria_nana",1,0,1,0.0180480718921108,0.499
"Dodecatheon_pulchellum",1,0,1,0.0127619140222539,1
"Doronicum_clusii",0,1,2,0.0127619140222539,1
"Doronicum_sp",1,1,3,0.0127619140222539,NA
"Douglasia_montana",1,1,3,0.0584824370194968,NA
"Draba_aizoides",1,0,1,0.0191428710333808,0.514
"Draba_altaica",1,0,1,0.0505762918299404,0.007
"Draba_aretioides",0,1,2,0.0536309887789596,0.005
"Draba_aurea",1,0,1,0.0191428710333808,0.622
"Draba_cana",1,0,1,0.0180480718921108,0.49
"Draba_funiculosa",1,1,3,0.0127619140222539,NA
"Draba_gilliesii",1,0,1,0.115564046571305,0.001
"Draba_hispanica",1,0,1,0.0127619140222539,1
"Draba_longipes",1,0,1,0.0312601774957917,0.093
"Draba_magellanica",1,1,3,0.0423264804185915,NA
"Draba_oligosperma",1,0,1,0.0768867241826092,0.001
"Draba_oreades",1,1,3,0.0180480718921108,NA
"Draba_paysonii",1,1,3,0.0372070533749571,NA
"Draba_praealta",1,0,1,0.0180480718921108,0.504
"Draba_pulchella",1,0,1,0.0684611896733818,0.001
"Draba_sp",0,1,2,0.0180480718921108,0.488
"Draba_sp1",1,1,3,0.0618656735477592,NA
"Draba_sp2",1,1,3,0.0312601774957917,NA
"Draba_sp3",1,1,3,0.0584824370194968,NA
"Draba_sp4",1,0,1,0.0127619140222539,1
"Draba_sp5",1,1,3,0.0510476560890156,NA
"Draba_sp6",1,1,3,0.0221042834883694,NA
"Draba_tomentosa",0,1,2,0.0127619140222539,1
"Dracophyllum_muscoides",1,0,1,0.0813072322103223,0.001
"Dracophyllum_pronum",1,1,3,0.0563550864205913,NA
"Dracophyllum_uniflorum",1,0,1,0.0127619140222539,1
"Dryas_octopetala",1,0,1,0.0928782026672905,0.001
"Dubyaea_hispida",1,1,3,0.0675297015121437,NA
"Elsholtzia_eriostachya",0,1,2,0.0582116800793314,0.002
"Elymus_longaristatus",1,1,3,0.0721922875684434,NA
"Elymus_nutans",1,0,1,0.0541442156763325,0.001
"Elymus_rectisetus",1,1,3,0.0477507098707402,NA
"Elymus_sp",1,1,3,0.0337648507560718,NA
"Elymus_sp1",1,0,1,0.10424328806568,0.001
"Elyna_myosuroides",1,0,1,0.0221042834883694,0.265
"Elyna_sp",1,0,1,0.0289413006480616,0.107
"Empetrum_rubrum",1,0,1,0.0638568189664006,0.001
"Empetrum_sp",1,1,3,0.0221042834883694,NA
"Ephedra_americana",NA,NA,NA,NA,NA
"Epilobium_angustifolium",1,0,1,0.0127619140222539,1
"Epilobium_cylindricum",1,1,3,0.0127619140222539,NA
"Epilobium_nivale",1,0,1,0.0403567156135631,0.001
"Epilobium_pycnostachyium",0,1,2,0.0584824370194968,0.001
"Epilobium_sp",1,1,3,0.0127619140222539,NA
"Eragrostis_pectinacea",1,1,3,0.0360961437842217,NA
"Erigeron_alpinus",0,1,2,0.0127619140222539,1
"Erigeron_andicola",1,0,1,0.162014940403514,0.001
"Erigeron_aureus",1,0,1,0.0430891810600987,0.004
"Erigeron_caespitosum",1,0,1,0.0255238280445078,0.119
"Erigeron_canus",1,0,1,0.0221042834883694,0.225
"Erigeron_compositus",1,0,1,0.119604796066238,0.001
"Erigeron_ecuadoriensis",1,1,3,0.095926817925928,NA
"Erigeron_eriocalyx",1,1,3,0.0127619140222539,NA
"Erigeron_frigidus",1,0,1,0.0299293413277456,0.129
"Erigeron_glabratus",1,0,1,0.0246583605465279,0.257
"Erigeron_lanatus",1,0,1,0.0510476560890156,0.003
"Erigeron_rydbergii",1,1,3,0.0786697215034681,NA
"Erigeron_simplex",1,0,1,0.0399057884369942,0.039
"Erigeron_sp",1,0,1,0.0776069169192649,0.001
